customer_id,total_transactions,total_transaction_amount,average_transaction_amount,median_transaction_amount,transaction_amount_std,average_account_balance,average_credit_score,average_transaction_hour,total_emi_amount,debit_ratio,credit_ratio,merchant_category_diversity,channel_diversity,cluster
CUST000001,5,3276.58,655.316,584.18,283.25974728153665,53762.056,491.4,12.4,63772.380000000005,0.8,0.2,4,3,4
CUST000002,7,152940.68,21848.66857142857,1783.51,31640.342791178493,49788.60285714286,542.2857142857143,9.857142857142858,6127.26,0.5714285714285714,0.42857142857142855,5,4,1
CUST000003,8,119842.16,14980.27,6519.4349999999995,20773.59532236261,40364.42125,531.875,11.625,1499.07,0.625,0.375,5,5,0
CUST000004,8,123820.11,15477.51375,1104.44,32966.860831425394,41178.845,542.0,15.625,1579.48,0.75,0.25,7,4,0
CUST000005,5,66083.27,13216.654,19515.95,10463.75786677186,47540.394,695.4,10.0,12848.529999999999,0.6,0.4,5,2,1
CUST000006,12,203916.6,16993.05,3648.23,32182.191048570778,176112.01416666666,561.4166666666666,15.083333333333334,43367.26,0.8333333333333334,0.16666666666666666,9,5,0
CUST000007,4,33662.119999999995,8415.529999999999,1890.0,14014.271233698408,280662.72,626.5,10.25,6943.66,0.5,0.5,3,4,1
CUST000008,3,20088.519999999997,6696.173333333332,3602.58,6691.714365103559,10902.883333333333,557.6666666666666,17.666666666666668,13678.59,1.0,0.0,3,1,4
CUST000009,8,612906.0599999999,76613.25749999999,5522.139999999999,156687.4890707676,86204.655,738.625,15.25,12534.24,0.875,0.125,6,5,0
CUST000010,6,107737.95999999999,17956.326666666664,3207.995,37103.48576593291,148395.93166666667,628.5,16.0,14989.919999999998,0.6666666666666666,0.3333333333333333,6,4,0
CUST000011,9,2095738.65,232859.84999999998,3054.94,661362.032245266,38342.52333333334,591.6666666666666,11.11111111111111,31107.219999999998,0.5555555555555556,0.4444444444444444,6,5,3
CUST000012,9,108184.69,12020.521111111111,1535.78,19175.219047854735,82129.75222222222,559.1111111111111,15.11111111111111,21023.5,0.7777777777777778,0.2222222222222222,8,4,0
CUST000013,4,353996.14,88499.035,1302.88,174724.14224877657,32163.91,637.75,12.25,3220.83,0.75,0.25,4,2,4
CUST000014,7,168153.84,24021.977142857144,1146.67,57276.888326759894,262234.3714285714,522.2857142857143,11.571428571428571,3701.37,0.5714285714285714,0.42857142857142855,7,4,0
CUST000015,7,625037.06,89291.00857142858,43625.9,120936.68848787567,15616.32142857143,599.2857142857143,12.571428571428571,18286.87,0.42857142857142855,0.5714285714285714,5,4,1
CUST000016,9,56381.32,6264.591111111111,2165.56,8457.991803004192,71505.68666666668,561.7777777777778,12.444444444444445,19220.78,0.6666666666666666,0.3333333333333333,5,3,0
CUST000017,5,147333.30000000002,29466.660000000003,33078.5,29706.398905681082,25940.662,713.8,11.8,8936.16,0.8,0.2,5,4,4
CUST000018,5,943967.8700000001,188793.57400000002,1434.03,257580.54176098394,50865.943999999996,586.4,16.2,18807.57,0.6,0.4,5,3,3
CUST000019,5,403987.07,80797.414,33788.57,135278.47166673726,23881.278,609.0,13.6,0.0,0.8,0.2,4,3,4
CUST000020,8,96951.40999999999,12118.926249999999,2054.035,28370.110304381942,77993.09999999999,584.375,14.375,15591.95,0.875,0.125,6,3,4
CUST000021,10,206911.13999999998,20691.113999999998,998.8,57422.41370462587,67212.311,559.4,10.2,26313.77,0.5,0.5,8,4,0
CUST000022,9,132295.78,14699.531111111111,2000.0,25714.479335258977,80868.07444444444,517.6666666666666,13.555555555555555,0.0,0.6666666666666666,0.3333333333333333,7,4,0
CUST000023,8,117502.91,14687.86375,3004.46,32844.10259609171,93274.22,587.0,9.25,8848.58,0.625,0.375,6,4,0
CUST000024,6,35173.41,5862.235000000001,4956.295,4905.393296647069,89633.18333333333,610.6666666666666,11.833333333333334,1593.03,0.8333333333333334,0.16666666666666666,6,2,4
CUST000025,1,17001.22,17001.22,17001.22,0.0,18809.1,552.0,5.0,0.0,1.0,0.0,1,1,4
CUST000026,10,44051.95,4405.195,3079.355,4383.462484855881,49871.851,573.0,10.9,31881.630000000005,0.8,0.2,5,5,0
CUST000027,8,513400.37,64175.04625,2599.88,172670.9050585349,23107.275,594.625,7.875,9691.77,1.0,0.0,8,3,4
CUST000028,2,1820.83,910.415,910.415,411.17552219216566,41415.935,523.5,14.0,1241.67,0.5,0.5,2,2,1
CUST000029,11,127419.81000000001,11583.619090909093,2439.03,30079.847878838904,68433.07272727274,607.8181818181819,10.636363636363637,51303.96,0.6363636363636364,0.36363636363636365,8,4,0
CUST000030,8,366453.91000000003,45806.738750000004,1844.6100000000001,123782.9957832144,89311.68875,536.0,12.375,27347.99,0.875,0.125,7,3,0
CUST000031,8,47402.6,5925.325,1148.14,11834.297775677269,81988.12875,595.625,15.5,2947.45,0.875,0.125,7,5,0
CUST000032,4,67086.18000000001,16771.545000000002,15491.895,17581.431864351474,153187.845,677.5,7.75,7950.400000000001,0.5,0.5,4,3,1
CUST000033,9,28515.76,3168.4177777777777,961.0,4102.992049418868,49589.880000000005,554.1111111111111,9.0,52195.65,0.7777777777777778,0.2222222222222222,7,4,0
CUST000034,5,157261.76,31452.352000000003,16370.65,26152.09478096774,141042.45799999998,644.8,8.2,12296.310000000001,0.4,0.6,4,2,1
CUST000035,9,719795.73,79977.30333333333,5788.85,176626.07687035025,102170.90333333334,693.6666666666666,16.88888888888889,11811.98,0.6666666666666666,0.3333333333333333,6,5,0
CUST000036,6,123684.31,20614.051666666666,5155.030000000001,36940.781172869865,36303.84,576.1666666666666,9.833333333333334,35643.61,0.6666666666666666,0.3333333333333333,6,4,0
CUST000037,8,61236.31,7654.53875,3390.475,10363.630269381529,101507.95125,645.375,8.0,46220.979999999996,0.375,0.625,7,4,0
CUST000038,11,17154.11,1559.4645454545455,1179.73,1414.508186030492,129730.98545454546,578.7272727272727,12.0,27536.65,0.36363636363636365,0.6363636363636364,6,5,0
CUST000039,11,158567.16999999998,14415.197272727271,279.49,44149.99489512792,106289.96181818182,605.4545454545455,11.727272727272727,32990.61,0.6363636363636364,0.36363636363636365,11,6,0
CUST000040,10,24107.3,2410.73,2000.0,1882.8043552755141,94695.75700000001,617.8,7.6,19174.68,0.8,0.2,8,4,0
CUST000041,10,77043.47,7704.347,3940.205,10535.797985114106,94569.193,560.2,10.3,25910.949999999997,0.8,0.2,8,4,0
CUST000042,9,18159.99,2017.7766666666669,1059.13,2649.8523589721,56046.47555555556,652.7777777777778,10.11111111111111,8063.02,0.5555555555555556,0.4444444444444444,6,3,1
CUST000043,9,324406.2,36045.13333333333,1000.0,105333.69837399531,50537.205555555556,675.2222222222222,10.777777777777779,6613.9,0.7777777777777778,0.2222222222222222,5,4,0
CUST000044,10,201265.98,20126.598,1599.665,41250.48942812485,167504.423,558.5,13.5,11635.82,0.8,0.2,7,5,0
CUST000045,4,80360.28,20090.07,8134.66,28524.486202684413,49429.4625,556.0,12.5,2877.83,0.75,0.25,4,3,4
CUST000046,11,427753.35,38886.66818181818,3096.06,97290.74955056053,148209.95727272728,589.2727272727273,12.0,27194.379999999997,0.45454545454545453,0.5454545454545454,7,5,0
CUST000047,5,77724.53,15544.905999999999,2869.61,25797.565269806564,43613.85400000001,617.6,14.2,24853.9,0.4,0.6,5,3,1
CUST000048,8,52657.76,6582.22,5417.504999999999,6253.429164333987,30842.112500000003,556.0,13.75,29466.71,0.75,0.25,7,5,0
CUST000049,7,12022.230000000001,1717.4614285714288,995.04,1598.8148755398856,234050.8157142857,497.7142857142857,12.285714285714286,7009.969999999999,1.0,0.0,5,5,4
CUST000050,6,268285.21,44714.20166666667,23216.495000000003,58957.9814330014,22079.058333333334,471.6666666666667,13.666666666666666,16702.86,0.6666666666666666,0.3333333333333333,5,4,4
CUST000051,7,12971.83,1853.1185714285714,1230.22,1448.3128528328925,92786.46571428572,636.8571428571429,14.714285714285714,71730.04999999999,1.0,0.0,5,5,0
